"Format","AIM CSV File"
"Venue","None"
"Vehicle","FUBC15"
"User","Jay Leong"
"Data Source","AIM Data Logger"
"Comment","Autocross Driver #2"
"Date","06/19/15"
"Time","14:03:06"
"Sample Rate","10"
"Duration","143.375"
"Segment","Lap 1 - 2:23.375"

"Time","Distance","Logger Temperature","External Voltage","Front Brake Pres","Rear Brake Press","Front Left Sus","Rear RIght Sus","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","PreCalcGear","H_RPM","H_VEH_SPEED","H_WHEEL_FL","H_WHEEL_FR","H_WHEEL_RL","H_WHEEL_RR","H_THROTTLE","H_BOOST_OUTPUT","H_MANIF_PR","H_DECEL_CUT","H_FUEL_PR","H_OIL_PR","H_CLUTCH","H_LAMBDA1","H_LAMBDA2","H_TIMED_DUTY_1","H_TIMED_DUTY2","H_COOLANT_T","H_AIR_T1","H_FUEL_T","H_OIL_T","H_GEAR","H_EGT1","H_EGT2","H_EGT3","H_EGT4","H_EGT5","H_EGT6","H_EGT7","H_EGT8","H_TRIGGER_CNT","H_HOME_CNT","H_MISS_CNT","H_TRIGGER_LAST","H_TRASM_T","H_DIFF_T","H_INJ_DUTY_1","H_INJ_DUTY_2","H_IGN_ANG_LE","H_IGN_ANG_TR","H_IN_CAM_ANG_1","H_IN_CAM_ANG_2","H_EX_CAM_ANG_1","H_EX_CAM_ANG_2","H_WHEEL_SLIP","H_FUEL_COMPOS","H_BRAKE_PR","H_NOS_PR","H_BARO_PR","H_FUEL_CONSUMP","H_BOOST_TARGET","H_AIR_T2","H_BATT_VOLT","H_KNOCK_RET_B1","H_KNOCK_LEVEL","H_L_ANTILAG_ON","H_L_ANTILAG_SW","H_REV_LIMITER","H_R_ANTILAG_SW","H_NOS_SW","H_NOS_ACT","H_MIL_CHK_ENG","H_TURBO_SPEED","H_FUEL_CUT","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","GPS_SpdAccuracy","GPS_FreqAccuracy","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"Time","Distance","Logger Temperature","External Voltage","Front Brake Pres","Rear Brake Press","Front Left Sus","Rear RIght Sus","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","PreCalcGear","H_RPM","H_VEH_SPEED","H_WHEEL_FL","H_WHEEL_FR","H_WHEEL_RL","H_WHEEL_RR","H_THROTTLE","H_BOOST_OUTPUT","H_MANIF_PR","H_DECEL_CUT","H_FUEL_PR","H_OIL_PR","H_CLUTCH","H_LAMBDA1","H_LAMBDA2","H_TIMED_DUTY_1","H_TIMED_DUTY2","H_COOLANT_T","H_AIR_T1","H_FUEL_T","H_OIL_T","H_GEAR","H_EGT1","H_EGT2","H_EGT3","H_EGT4","H_EGT5","H_EGT6","H_EGT7","H_EGT8","H_TRIGGER_CNT","H_HOME_CNT","H_MISS_CNT","H_TRIGGER_LAST","H_TRASM_T","H_DIFF_T","H_INJ_DUTY_1","H_INJ_DUTY_2","H_IGN_ANG_LE","H_IGN_ANG_TR","H_IN_CAM_ANG_1","H_IN_CAM_ANG_2","H_EX_CAM_ANG_1","H_EX_CAM_ANG_2","H_WHEEL_SLIP","H_FUEL_COMPOS","H_BRAKE_PR","H_NOS_PR","H_BARO_PR","H_FUEL_CONSUMP","H_BOOST_TARGET","H_AIR_T2","H_BATT_VOLT","H_KNOCK_RET_B1","H_KNOCK_LEVEL","H_L_ANTILAG_ON","H_L_ANTILAG_SW","H_REV_LIMITER","H_R_ANTILAG_SW","H_NOS_SW","H_NOS_ACT","H_MIL_CHK_ENG","H_TURBO_SPEED","H_FUEL_CUT","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","GPS_SpdAccuracy","GPS_FreqAccuracy","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"sec","km","°C","V","PSI","PSI","mm","mm","g","g","g","deg/s","deg/s","deg/s","#","rpm","km/h","km/h","km/h","km/h","km/h","%","%","PSI","#","PSI","PSI","#","AFR","AFR","%","%","°C","°C","°C","°C","gear","°C","°C","°C","°C","°C","°C","°C","°C","#","#","#","#","°C","°C","%","%","deg","deg","deg","deg","deg","deg","km/h","%","PSI","PSI","PSI","l/s","PSI","°C","V","deg","#","#","#","#","#","#","#","#","#","%","km/h","#","g","g","deg","deg","deg/s","m","#","#","#","°","°","cm",
"","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91",

"0.000","0.000","-46.593750","6.244000","50.676491","1076.008057","52530.984375","51249.929688","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000015","0.000015","-0.000122","0.000015","0.000015","0.000015","0.000015","0.000015","0.000015","0.000004","0.000004","0.000000","0.000000","0.000000","0.000000","0.000015","0.000015","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000001","0.000015","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845446777105","-96.771672713728","417.70"
"0.100","0.000","-46.593750","6.244000","50.676491","1076.008057","52530.984375","51249.929688","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000015","0.000015","-0.000122","0.000015","0.000015","0.000015","0.000015","0.000015","0.000015","0.000004","0.000004","0.000000","0.000000","0.000000","0.000000","0.000015","0.000015","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000001","0.000015","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845447941498","-96.771667891369","416.77"
"0.200","0.000","-46.593750","6.244000","50.676491","1076.008057","52530.984375","51249.929688","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","37.485863","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-0.027051","0.000000","1.307486","0.075795","0.000000","0.018300","0.000000","0.000000","0.000000","2.418494","1.141623","-7.135851","-7.135851","-0.000122","0.000015","0.000015","0.000015","0.000015","0.000015","0.000015","0.000004","0.000004","3.203754","0.107103","0.052186","0.627146","0.000015","0.000015","0.085709","0.000000","0.574920","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-0.767851","-7.135851","0.313603","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845449105890","-96.771663069010","415.84"
"0.300","0.000","-46.593750","6.244000","50.676491","1076.008057","52530.984375","51249.929688","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","112.663551","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-0.080804","0.000000","3.922457","0.228671","0.000000","0.054940","0.000000","0.000000","0.000000","7.256936","3.425546","-21.407585","-21.407585","-0.000122","0.000015","0.000015","0.000015","0.000015","0.000015","0.000015","0.000004","0.000004","10.068940","0.321309","0.156741","1.881437","0.000015","0.000015","0.258112","0.000000","1.724760","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-2.303555","-21.407585","0.940810","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845450270283","-96.771658246651","414.90"
"0.400","0.000","-46.593750","6.244000","50.676491","1076.008057","52530.984375","51249.929688","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","188.047211","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-0.134558","0.000000","6.537428","0.381546","0.000000","0.091560","0.000000","0.000000","0.000000","12.095377","5.708791","-35.679317","-35.679317","-0.000122","0.000015","0.000015","0.000015","0.000015","0.000015","0.000015","0.000004","0.000004","17.391806","0.642618","0.261295","3.136187","0.000015","0.000015","0.430515","0.000000","2.874599","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-3.839260","-35.679317","1.568017","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845451434676","-96.771653424292","413.97"
"0.500","0.000","-46.593750","6.244000","50.676491","1076.008057","52530.984375","51249.929688","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","263.224915","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-0.188485","0.000000","9.152399","0.535706","0.000000","0.128180","0.000000","0.000000","0.000000","16.933819","7.992714","-49.951054","-49.951054","-0.000122","0.000015","0.000015","0.000015","0.000015","0.000015","0.000015","0.000004","0.000004","24.256992","0.856825","0.365850","4.390936","0.000015","0.000015","0.602918","0.000000","4.024439","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-5.374964","-49.951054","2.195438","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845452599069","-96.771648601933","413.03"
"0.600","0.000","-46.593750","6.244000","50.676491","1076.008057","52530.984375","51249.929688","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","338.402588","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-0.242239","0.000000","11.767369","0.688581","0.000000","0.164820","0.000000","0.000000","0.000000","21.773714","10.276637","-64.218620","-64.218620","-0.000122","0.000015","0.000015","0.000015","0.000015","0.000015","0.000015","0.000004","0.000004","31.122179","1.071031","0.470405","5.645228","0.000015","0.000015","0.775321","0.000000","5.174279","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-6.910221","-64.218620","2.822644","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845453763462","-96.771643779575","412.10"
"0.700","0.000","-46.593750","6.244000","50.676491","1076.008057","52530.984375","51249.929688","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","413.580292","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-0.296166","0.000000","14.383116","0.841456","0.000000","0.201440","0.000000","0.000000","0.000000","26.612154","12.559883","-78.490356","-78.490356","-0.000122","0.000015","0.000015","0.000015","0.000015","0.000015","0.000015","0.000004","0.000004","38.445045","1.392340","0.574960","6.899977","0.000015","0.000015","0.947724","0.000000","6.325015","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-8.445925","-78.490356","3.450065","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845454927855","-96.771638957216","411.17"
"0.800","0.000","-46.593750","6.244000","50.676491","1076.008057","52530.984375","51249.929688","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","488.757965","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-0.349920","0.000000","16.998087","0.994332","0.000000","0.238060","0.000000","0.000000","0.000000","31.450596","14.843805","-92.762085","-92.762085","-0.000122","0.000015","0.000015","0.000015","0.000015","0.000015","0.000015","0.000004","0.000004","45.310230","1.606546","0.679515","8.154726","0.000015","0.000015","1.120128","0.000000","7.474854","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-9.981629","-92.762085","4.077272","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845456092247","-96.771634134857","410.23"
"0.900","0.000","-46.593750","6.244000","50.676491","1076.008057","52530.984375","51249.929688","0.248280","-0.011442","-0.830624","0.066645","1.805577","0.118917","0.000000","564.141663","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-0.403673","0.000000","19.613056","1.147207","0.000000","0.274701","0.000000","0.000000","0.000000","36.289040","17.127728","-107.033821","-107.033821","-0.000122","0.000015","0.000015","0.000015","0.000015","0.000015","0.000015","0.000004","0.000004","52.175415","1.927855","0.784070","9.409019","0.000015","0.000015","1.292531","0.000000","8.624694","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","-11.517334","-107.033821","4.704479","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.800000","10.000000","0.000000","0.000000","-0.005524","-0.011048","-0.022096","366.000000","27.420000","0.560000","0.000000","40.845457256640","-96.771629312498","409.30"
